Council Area code,Council Area,Year,Median (£),Mean (£),Count,Total value (£),Lower quartile (£),Upper quartile (£)
S12000005,Clackmannanshire,2004," 70,000 "," 89,457 "," 1,410 "," 126,134,755 "," 43,819 "," 127,995 "
S12000005,Clackmannanshire,2005," 79,000 "," 100,788 "," 1,551 "," 156,321,603 "," 53,000 "," 141,000 "
S12000005,Clackmannanshire,2006," 95,000 "," 120,971 "," 1,686 "," 203,957,445 "," 66,000 "," 163,374 "
S12000005,Clackmannanshire,2007," 116,995 "," 141,370 "," 1,677 "," 237,077,444 "," 83,000 "," 177,000 "
S12000005,Clackmannanshire,2008," 105,000 "," 134,111 ", 959 ," 128,612,707 "," 77,000 "," 172,000 "
S12000005,Clackmannanshire,2009," 115,000 "," 131,868 ", 573 ," 75,560,438 "," 79,995 "," 160,000 "
S12000005,Clackmannanshire,2010," 100,000 "," 129,155 ", 604 ," 78,009,566 "," 73,000 "," 159,995 "
S12000005,Clackmannanshire,2011," 93,000 "," 127,383 ", 561 ," 71,461,923 "," 70,000 "," 160,000 "
S12000005,Clackmannanshire,2012," 95,000 "," 128,308 ", 577 ," 74,033,779 "," 68,000 "," 153,000 "
S12000005,Clackmannanshire,2013," 105,000 "," 123,236 ", 763 ," 94,029,402 "," 69,250 "," 160,000 "
S12000005,Clackmannanshire,2014," 120,000 "," 133,093 ", 845 ," 112,463,900 "," 76,300 "," 170,000 "
S12000005,Clackmannanshire,2015," 112,000 "," 134,862 ", 861 ," 116,116,123 "," 73,000 "," 175,000 "
S12000005,Clackmannanshire,2016," 110,000 "," 131,872 ", 977 ," 128,839,273 "," 73,000 "," 172,000 "
S12000005,Clackmannanshire,2017," 117,000 "," 136,940 ", 894 ," 122,424,189 "," 75,000 "," 175,000 "
S12000005,Clackmannanshire,2018," 127,418 "," 145,640 ", 955 ," 139,085,919 "," 85,000 "," 186,000 "
S12000005,Clackmannanshire,2019," 132,995 "," 152,437 ", 895 ," 136,430,966 "," 83,500 "," 193,250 "
S12000005,Clackmannanshire,2020," 133,075 "," 159,501 ", 814 ," 129,834,054 "," 85,000 "," 206,375 "
S12000005,Clackmannanshire,2021," 145,182 "," 169,370 ", 983 ," 166,490,422 "," 90,000 "," 219,995 "
S12000005,Clackmannanshire,2022," 151,255 "," 182,214 ", 953 ," 173,649,828 "," 96,000 "," 245,500 "
S12000005,Clackmannanshire,2023," 140,000 "," 182,182 ", 863 ," 157,222,837 "," 97,000 "," 237,000 "
S12000005,Clackmannanshire,2024," 150,000 "," 185,231 ", 812 ," 150,407,675 "," 107,375 "," 245,375 "
S12000006,Dumfries and Galloway,2004," 83,000 "," 102,293 "," 3,329 "," 340,534,297 "," 52,500 "," 131,950 "
S12000006,Dumfries and Galloway,2005," 93,000 "," 113,146 "," 3,088 "," 349,394,592 "," 63,204 "," 148,000 "
S12000006,Dumfries and Galloway,2006," 110,000 "," 126,868 "," 3,232 "," 410,038,789 "," 75,000 "," 160,000 "
S12000006,Dumfries and Galloway,2007," 120,000 "," 138,501 "," 3,336 "," 462,038,997 "," 85,000 "," 174,000 "
S12000006,Dumfries and Galloway,2008," 123,000 "," 144,605 "," 2,256 "," 326,229,061 "," 85,000 "," 175,000 "
S12000006,Dumfries and Galloway,2009," 117,750 "," 135,104 "," 1,688 "," 228,055,432 "," 82,000 "," 169,613 "
S12000006,Dumfries and Galloway,2010," 121,000 "," 138,493 "," 1,885 "," 261,060,192 "," 83,555 "," 172,000 "
S12000006,Dumfries and Galloway,2011," 115,000 "," 135,342 "," 1,787 "," 241,856,201 "," 82,000 "," 167,750 "
S12000006,Dumfries and Galloway,2012," 117,000 "," 137,525 "," 1,705 "," 234,480,732 "," 80,000 "," 167,500 "
S12000006,Dumfries and Galloway,2013," 116,000 "," 132,491 "," 1,964 "," 260,213,049 "," 78,000 "," 165,000 "
S12000006,Dumfries and Galloway,2014," 120,000 "," 135,578 "," 1,938 "," 262,750,454 "," 80,000 "," 170,000 "
S12000006,Dumfries and Galloway,2015," 120,000 "," 135,850 "," 2,112 "," 286,915,923 "," 80,000 "," 170,000 "
S12000006,Dumfries and Galloway,2016," 120,000 "," 135,977 "," 2,261 "," 307,444,537 "," 80,000 "," 171,000 "
S12000006,Dumfries and Galloway,2017," 123,000 "," 137,694 "," 2,486 "," 342,307,524 "," 82,000 "," 170,189 "
S12000006,Dumfries and Galloway,2018," 130,000 "," 148,508 "," 2,509 "," 372,606,582 "," 86,500 "," 186,225 "
S12000006,Dumfries and Galloway,2019," 129,250 "," 146,731 "," 2,602 "," 381,793,498 "," 85,000 "," 182,263 "
S12000006,Dumfries and Galloway,2020," 130,000 "," 152,644 "," 2,134 "," 325,742,805 "," 85,335 "," 190,000 "
S12000006,Dumfries and Galloway,2021," 140,000 "," 168,794 "," 2,888 "," 487,477,414 "," 91,443 "," 215,000 "
S12000006,Dumfries and Galloway,2022," 150,000 "," 184,505 "," 2,425 "," 447,424,268 "," 100,000 "," 235,000 "
S12000006,Dumfries and Galloway,2023," 152,500 "," 181,400 "," 2,226 "," 403,796,825 "," 100,000 "," 230,000 "
S12000006,Dumfries and Galloway,2024," 155,325 "," 186,245 "," 2,364 "," 440,283,532 "," 106,075 "," 242,625 "
S12000008,East Ayrshire,2004," 59,995 "," 76,797 "," 2,949 "," 226,474,246 "," 33,500 "," 100,000 "
S12000008,East Ayrshire,2005," 74,000 "," 91,833 "," 3,029 "," 278,160,700 "," 48,000 "," 120,000 "
S12000008,East Ayrshire,2006," 87,375 "," 104,645 "," 3,420 "," 357,884,258 "," 60,228 "," 135,000 "
S12000008,East Ayrshire,2007," 103,250 "," 120,580 "," 3,552 "," 428,300,537 "," 72,000 "," 151,000 "
S12000008,East Ayrshire,2008," 101,275 "," 125,769 "," 2,274 "," 285,998,849 "," 70,000 "," 154,794 "
S12000008,East Ayrshire,2009," 90,126 "," 116,653 "," 1,362 "," 158,881,379 "," 63,501 "," 145,000 "
S12000008,East Ayrshire,2010," 92,000 "," 115,496 "," 1,338 "," 154,533,076 "," 62,000 "," 145,750 "
S12000008,East Ayrshire,2011," 91,000 "," 117,183 "," 1,373 "," 160,892,183 "," 61,000 "," 148,000 "
S12000008,East Ayrshire,2012," 85,000 "," 108,985 "," 1,369 "," 149,200,417 "," 57,000 "," 140,000 "
S12000008,East Ayrshire,2013," 84,000 "," 105,419 "," 1,526 "," 160,869,752 "," 52,000 "," 141,488 "
S12000008,East Ayrshire,2014," 85,000 "," 106,698 "," 1,729 "," 184,480,379 "," 55,000 "," 145,000 "
S12000008,East Ayrshire,2015," 92,000 "," 113,481 "," 1,832 "," 207,896,312 "," 57,583 "," 154,670 "
S12000008,East Ayrshire,2016," 94,750 "," 114,389 "," 2,064 "," 236,098,306 "," 59,000 "," 155,000 "
S12000008,East Ayrshire,2017," 97,550 "," 119,870 "," 2,261 "," 271,026,520 "," 59,000 "," 165,000 "
S12000008,East Ayrshire,2018," 105,000 "," 120,898 "," 2,109 "," 254,974,758 "," 60,000 "," 169,000 "
S12000008,East Ayrshire,2019," 95,000 "," 117,454 "," 2,159 "," 253,582,515 "," 60,000 "," 162,125 "
S12000008,East Ayrshire,2020," 101,000 "," 125,598 "," 1,749 "," 219,670,867 "," 63,000 "," 174,500 "
S12000008,East Ayrshire,2021," 106,000 "," 134,669 "," 2,535 "," 341,385,596 "," 65,000 "," 185,000 "
S12000008,East Ayrshire,2022," 125,000 "," 154,730 "," 2,321 "," 359,128,267 "," 73,000 "," 220,000 "
S12000008,East Ayrshire,2023," 116,000 "," 149,566 "," 2,111 "," 315,732,903 "," 69,248 "," 205,050 "
