,postcode,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
0,AB10,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
1,AB11,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
2,AB12,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
3,AB13,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
4,AB14,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
5,AB15,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
6,AB16,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
7,AB21,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
8,AB22,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
9,AB23,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
10,AB24,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
11,AB25,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
12,AB30,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
13,AB31,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
14,AB32,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
15,AB33,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
16,AB34,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
17,AB35,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
18,AB36,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
19,AB37,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
20,AB38,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
21,AB39,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
22,AB41,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
23,AB42,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
24,AB43,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
25,AB44,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
26,AB45,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
27,AB51,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
28,AB52,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
29,AB53,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
30,AB54,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
31,AB55,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
32,AB56,0.0,0,0.0,1.6,0.0,0,0.0,0.0,98.4
33,AL1,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
34,AL10,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
35,AL2,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
36,AL3,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
37,AL4,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
38,AL5,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
39,AL6,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
40,AL7,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
41,AL8,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
42,AL9,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
43,B1,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
44,B10,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
45,B11,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
46,B12,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
47,B13,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
48,B14,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
49,B15,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
50,B16,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
51,B17,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
52,B18,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
53,B19,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
54,B2,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
55,B20,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
56,B21,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
57,B23,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
58,B24,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
59,B25,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
60,B26,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
61,B27,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
62,B28,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
63,B29,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
64,B3,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
65,B30,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
66,B31,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
67,B32,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
68,B33,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
69,B34,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
70,B35,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
71,B36,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
72,B37,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
73,B38,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
74,B4,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
75,B42,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
76,B43,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
77,B44,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
78,B45,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
79,B46,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
80,B47,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
81,B48,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
82,B49,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
83,B5,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
84,B50,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
85,B6,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
86,B60,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
87,B61,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
88,B62,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
89,B63,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
90,B64,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
91,B65,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
